APAF1 VPS35L
DHX9 SRSF5
CD58 SRP14
IRAK1 NFKBIA
PSMA5 PSMD12
H2AC20 H3C1
PSMB5 PSMF1
GH2 SOCS3
OR5M10 OR2AK2
PSMD4 PSMD6
RAB5C ARL8A
RPS14 SMG9
KIF26A DCTN4
CALM2 MEN1
RPL10A RPS20
MRPS16 MTFMT
SPTA1 BET1L
KRT12 KRT33A
DHX37 100861532
CCL16 ACKR3
FCGR3B GMFG
ZKSCAN8 ZNF546
AHSG APOB
BARD1 POLE
CNOT3 CNOT7
SARDH DMGDH
UBE2I PIAS4
ZNF696 ZNF551
H4C13 EHMT2
CCR10 SAA1
CTNNB1 DSP
ZNF141 ZNF791
IGFBP4 MMP2
SEC13 CENPM
PSMC6 RNF146
NCOA3 H2BC12
PPP1CC HELZ2
COL17A1 MMP15
E2F1 H4-16
GLI1 PSMC1
ZNF418 ZNF705D
H2BC13 H3C4
CXCL1 SPTAN1
ARHGAP9 CANT1
ITGA1 ITGB1
POLR2J ELL
OPN5 RGS21
TAF11 TAF1L
PAX6 H3C13
FGB PEBP1
CPSF1 CPSF2
MYC TLE2
PYGL GPR84
DENND4C DENND6B
YWHAE CKAP5
AGO3 H2AB1
YWHAZ LAMTOR4
H2AC17 H4C13
SPC25 ANAPC16
ACADVL KLHDC3
PSMB10 PSMD10
ACTB ARAF
PSMA5 PSMD8
ADRA2C DMBT1
FGG SHISA5
H2AJ H2BU1
RAD21 SP100
ADRA1A MLNR
GOLGA7 ACTR10
HDAC3 SIRT3
SPC25 SGO2
C5AR1 CANT1
H2AC8 RBBP5
PTCD3 MRPL43
IDH1 CRISP3
NPY2R RGS1
EIF2S1 ERLEC1
CHGB KNG1
COL6A2 COL9A3
ELN FURIN
ZIM3 ZNF705G
H2BC6 H4C6
H3-4 RAD50
RPL26L1 RPL22L1
CAV1 PLIN1
SULT2A1 NCOA6
RPL7 RPL27
H2BC8 CENPH
CSTB PTPRJ
OR1E2 OR4S2
DYNC1I2 TUBB6
KAT5 H4C15
ACTG1 EXOC5
ADCY3 FPR2
PSMA7 HGS
GNAI3 OPN1MW2
NFE2 H2BC8
HRAS KRAS
ASAH1 ADA2
GPD1 GNPAT
SH2D1A SIGLEC7
CCNC CREBBP
AREG DAB2
RAE1 PHAX
NUP37 B9D2
H2AC7 H3C2
EZH2 H2AZ1
PDE3A TAAR1
TSC2 TBC1D16
KIF2A CTSF
DENND4A DENND2D
RPL27 RPS3A
NDUFB10 SCO1
CCL21 GPSM3
TUBB4A KIF4B
RPS5 RPS25
HDAC2 TTF1
RPLP0 SLIT1
ELAVL2 SNRPN
SH3D19 YIPF6
RAPGEF2 KLB
H2BC17 H3C14
ADAM8 FBN1
RPS12 RPL23
OR3A1 OR51H1
EIF3B EIF3G
RPL7 RPS19
MED24 ZNF234
KRT5 KRT6B
MDM2 H2BC4
TERF2 H2BC21
BTK RAC1
NPY5R TAS1R1
ST6GAL1 ST3GAL1
POU2F2 SRRT
PLXNB1 ARHGEF33
H2AC7 SMC2
RPS21 PSME3
GNGT2 FZD3
LEO1 RNF152
PSMB1 PSMF1
MANBA LRG1
HSF1 AKT1S1
IFNG TRIM34
H2BC5 H2BU1
TFDP2 CBX4
MUCL1 
SELL OSTF1
PSMD9 TNFSF12
ACTN2 LAMP2
PBX1 H2BC8
PSMD3 UBA52
SMARCD3 POLG2
PNOC TAS2R40
KLHL21 COMMD6
GLI1 ULK3
PSMD2 PSMD14
PSAP SUCNR1
PSME1 UBE2A
TACR2 FFAR4
RPS27 RPS4Y2
COL5A2 COL9A2
NECTIN2 KLRG1
UBA52 PSMD6
H2AC7 H3C13
SUMO1 H2BC7
ZBTB16 FBXL15
BUB1 ANAPC11
H2AC8 FZR1
KIFC3 CCNE2
KEAP1 USP44
OR2A14 OR8A1
OR9Q1 OR7G3
TAPBP TLR6
OR10G3 OR4S1
PSMA5 SGO1
TAF1 TAF5
PSMC1 UBC
PSMA3 PSMC4
H2AC7 TERF2IP
3361711 3361714
H2BC8 H4C3
GCK NUP210
PSMB9 PSMC5
SRC SSTR3
PSMD5 FBXO11
TRIP10 ARHGAP15
PSMD8 NCBP2
ZNF658 ZNF680
PPP2CA PPP2R5E
TMED7 GORASP1
RAB5C STAM2
OR4K15 OR10A5
RPS4X RPS15A
PSMA7 H4C14
RPL36AL RPS29
RPSA RPL12
CAPN2 MMP1
PSMB7 FBXL3
PSMD9 AJUBA
FGFR2 NRG2
CDC20 TUBA3E
PRKCSH SCG3
NCBP1 PRPF8
OR51E2 OR2D2
ZNF208 ZNF600
ANGPTL3 LMF1
AMELX IGFALS
UBE2H RNF115
HOXA2 MAFB
GNAI3 PDE4A
PSMB7 FKBP8
OR4S2 OR5AR1
HNRNPL SNRPD3
MDM2 RAE1
NDUFAF3 NDUFS7
LIG3 CUL4A
CTSG KPNB1
XPO1 CENPK
VTN COL5A3
KEAP1 FBXL20
CST3 LAMB1
TAS2R9 TAS1R2
RPL12 RPL19
OPRK1 RGS11
BLMH ASB16
CD80 FGF23
CENPI KNL1
AKT1 CTNNA1
CUL1 PSMF1
MDM4 H2BC9
RPL18 PSTK
TMSB4X CD109
DEFA1 NFASC
POLA1 POLD4
FGG LGALS1
CLINT1 TXNDC5
L1CAM TUBB4A
HSP90AB1 S100A7
MAPRE1 HAUS5
TERF2 
HSPA2 LMNA
H3-3B PRL
SPARC WWOX
PSMB7 CUL1
HMOX2 COMMD3
GSK3B PPP2R5C
RBP3 RDH8
NUP50 NUP210
H4C8 H2BC1
PSG2 JAM3
ATP2A1 ATP13A4
CCNB1 CEP250
ERCC3 POLR1C
KIF1A KIF1B
CHEK1 WRN
APCS UBC
ZNF551 ZNF25
OR8U3 OR13D1
H4C6 NCOA6
DYNC1I2 MZT2B
CR1 GHDC
GSTP1 NFASC
FTH1 ENPP4
OR4F5 OR7A10
RUVBL1 MCRS1
H2BC8 USP17L30
RASGRF2 ARHGEF3
EIF4A1 RPS23
LRP6 UBC
MAPK1 PTPRJ
USP8 NRG2
KCNJ11 PSMD1
DYNC1LI1 ARL8A
OFD1 CEP164
CASP3 DSG3
PDGFRB FGF17
PAFAH1B2 RAB9B
GNG11 GNGT1
ANAPC10 UBAC1
RPL9 RPS8
PYGB RHOF
NUP88 NUP133
DTL FBXL15
SRRM1 CPSF3
SPTLC1 CERS4
UBC MLYCD
TUBB4A CLASP1
RGS16 GNG8
NOL6 100861532
COG1 COPG1
DYNC1I2 NUP160
COL5A2 COL27A1
POLR2I ISY1
H4C11 H2BC12
PSMA7 HECTD1
TRIM9 ASB15
RPL31 RPL36
H2BC4 H2AC19
ZNF709 ZIK1
DCTN1 AKAP9
RPL41 IMP3
PVR NPDC1
PLG ADAMTS18
FBXO30 NEURL2
PSMB4 HIF3A
LILRA2 ULBP3
H2BC17 H4C4
IFNA6 H3C2
ALMS1 CNTRL
MRPL14 MRPL10
BTC IL1RAP
GRIN2C LIN7A
PCM1 CEP70
H3C10 H4C3
HLA-E IFNA6
ZNF28 ZNF480
COL4A5 COL6A2
OR7A5 OR2L5
RAB5A RAB21
ITPR2 PLCG1
PEMT SLC44A2
ACTL6A VPS72
ZNF432 ZNF804B
NCBP1 POLR2H
POLR2I SSRP1
PRCP PLEKHO2
MRPS25 MRPL1
CD4 DAB2
RPSA RPL7
PRMT5 H2AC1
PTEN PIK3R3
H3-3B H4C6
ADCY3 RGS10
OR1E2 OR1M1
PSMC6 TNFRSF11A
CACNA2D1 CACNG6
EIF3F EIF3J
MNDA PDAP1
DEFB126 DEFB112
CRACR2A RAB44
MED13 ZNF559
H2BC13 H4C3
MAPK11 BRIP1
PPFIA1 CPLX1
PDE3A GPR150
CDK13 VAMP8
PSMD5 RPS15A
RPS3 RPS26
PSMB1 UBC
OR10H4 OR51B6
BTRC ASB14
OR7C2 OR6C2
H2AC14 H2AJ
POU2F1 
CHEK1 TP53RK
ZNF227 ZNF112
ZNF460 ZNF257
GNAI1 RHO
RPS16 EIF3C
RPSA RPL31
UBC TUBB4A
COL6A3 COL9A1
ZNF460 ZNF750
PSMC3 PSME2
KEAP1 ASB6
OFD1 CEP250
SRSF11 EIF4A3
RPS9 RPS29
FLNB PLCG1
SRSF7 U2AF2
POLR1H H3C15
GABARAPL1 CHMP2B
ILF2 MAN2B1
ZKSCAN5 ZNF689
IL6 H2BC14
TCTN3 HAUS1
FSHR GNG3
CDK4 FOS
FBXO41 ASB18
HUS1 H4C2
GNAT2 ITPR2
OR11H2 OR6B1
UBB FGF19
UBA52 DECR2
XPOT ELAC2
WWP1 TRIM39
NUP210 NUP107
CSNK2A1 CSNK2A2
UBA52 OS9
PRKACA STIM1
ATP2B3 CAMK2G
PAFAH1B1 YWHAE
PSMB8 NEDD4L
FBXO7 DCAF11
H2AC8 H2AC17
PSMA7 PTEN
KRT8 DSG4
ZNF213 ZNF211
H2AZ1 H3C8
CAPN6 CTSL
ICAM1 ITGA8
H4C13 H4-16
ALG1 RFT1
LAMC1 APOA5
PRKCB PIK3R4
RPL22 RPS6
H4C12 KDM4C
ZNF212 ZNF253
H2BC13 H3C15
IMPDH1 CANT1
IL1RN TNF
H2AZ1 H2BC11
MYB PRKACB
TAF11 CCNA1
RPS13 EXOSC5
OR2C3 OR4C11
FOXK1 H2AC21
AMELX MMP2
ATP7B ATP10A
PKM PSAP
PSMB3 PSMB4
LPAR2 TAS1R1
PSMD1 PSMA8
MUC6 MUC16
LAMB3 CAPN14
CLSPN USP17L22
GNRH2 GPR4
OR2G3 OR2T11
SNRPD2 ZRSR2
ERBB4 SRC
NUP42 PSIP1
ESR1 FGF16
AKAP13 ARHGEF19
RAB6A TTR
H2AC16 PSME4
PSMC3 HGS
H3-4 H2BC1
HTR1A HCAR1
ARHGEF26 ARAP1
PRKACA SYT5
TRAF6 USP24
ZNF416 ZNF550
GYPA TREM1
B9D1 NEDD1
CD36 SIRPB1
IFI27 IRF3
KDELR2 COG8
TIMM10B TIMM13
HLA-DRA SEC31A
ADRB2 USP17L10
RAD51C WRN
FBXL5 RNF130
ITGB3 ROCK1
CDC27 PSMB7
PSMB9 PSME3
PSMB6 RPS28
VAMP2 SEC61G
TBK1 STING1
GRB2 PAK3
OR5V1 OR1S2
H4C9 KMT2C
CSNK1D AKAP9
ZNF75D MED26
P4HA1 COL20A1
ACTR2 SIRPB1
FBXW5 DCAF16
MIF PTPRJ
OR2T8 OR52D1
NOL12 RPP21
YAP1 WWOX
IL5 STAT5A
SRSF7 SNRPA
SIGLEC5 FLG2
H2BC6 NCOA1
F2RL1 GRK5
SEC13 CENPL
RAD1 H2BC8
TIAM1 VAV3
PLRG1 SRSF6
FZR1 UBA6
OR1N2 OR7G2
TYROBP TOM1
ERBB3 SHC1
CHERP RBMX
OR5J2 OR2V2
SNRPD2 SMNDC1
AMBN MMP2
NSD2 H3C4
POLR2E H3C10
JAK2 UBC
ATF2 FOS
BUB3 TUBB6
PLD1 DERA
EIF3B RPL22L1
HNF4A THRB
RHOA CEACAM6
COL4A1 COL12A1
PSMA4 PSMC5
IRAG2 ACTR10
RFC4 RPS27A
GNA13 ARHGEF40
CAT GPX8
EIF3D RPL26L1
PSMB6 PSMB9
H2AZ1 H2AC4
PEX14 GDAP1
PSMA6 RPL8
AKT2 AKT3
ZNF337 ZNF799
ZNF273 ZNF577
MAPK1 SIGLEC9
ITGAL SERPINB12
ANXA1 CCL27
FBXO21 FBXW5
LNPEP SIAH2
CENPJ CEP41
SPHK1 SGPP1
BIRC3 3707572
PSMA2 PSMD11
MUC5AC MUC13
OR8B8 OR13J1
MLH1 162699
GSK3B AXIN1
USP6NL ARFIP2
ZNF41 ZNF334
CSNK1D RPL38
AP2A2 AVP
RPL31 RPL23
EPHB2 PAK3
GATA1 HDAC1
DSP PSMB1
NEDD4 PSMD8
ZNF649 ZNF705A
CD59 TLR2
RYK FZD1
ZNF75D ZNF519
PPP2R5B IER3
APC CSNK1A1
ACTB H3C13
POU2F1 SUPT4H1
GTF2H2 POLR2K
ARRB1 DTX2
MRPL44 MRPS34
SYMPK PCF11
SCN2A CACNA2D2
SERPINB1 PSMC2
HMOX2 RAB14
CD44 PLD1
OPN1SW CXCL13
LCN2 TCN1
CSTF1 DDX39B
XPC CBX8
SIAH2 H4C15
LTN1 TRAF7
POLR2H ELOB
PSMB4 PSMD11
GNB1 GNB3
PSMD4 TNFSF12
ACTN1 GTPBP2
OR4A16 OR2L3
AURKB CENPM
PDS5B SPDL1
E2F1 JAK2
ABL1 NCKAP1L
CDSN LCE1F
ARRB1 CLTCL1
UBE2I PIAS4
GTF2F1 MLLT1
CEBPB H2AC6
BTC FGF18
HMGA1 NUP210
CBFB H2AZ1
DYNC1LI2 MAD2L1
TLR4 UBB
KMT2D TNRC6C
CREBBP TFB2M
RGS16 P2RY10
GTF2H3 GTF2H5
TNFSF12 PSMD14
SDCBP PPIE
BGN SDC1
TAS2R10 GNG2
PSMB2 PSMC6
PIK3CA MPIG6B
CTSH LAMP2
NEK2 PCM1
ANAPC7 ANAPC16
YWHAE HAUS4
POLR2F BDP1
SOS2 RHOT2
HNRNPC NCBP1
IL10 CCR2
ATG7 SLC27A2
H2BC8 H2BC13
HLA-F CD300LG
RPS15A RPS29
OR7E24 OR2F2
ATP6V1B2 TCIRG1
NAPA KIF26A
GNAI3 RXFP3
RPL28 RPL32
OR5D13 OR10G7
ZNF471 ZNF343
RPL9 RPL15
PPBP GAL
VAV3 ARHGEF3
NUP88 SEC13
PSMD13 AJUBA
SEMA5A THSD4
AGL CHRNB4
PSMA2 PSMD11
CCR8 GRM3
ARMC8 PLEKHO2
BLM RFC5
TGFBR1 SMURF1
H2BC13 H3C6
OR52L1 390441
MTOR LAMTOR1
NCOA2 RUVBL2
XPO1 KNTC1
IRAK1 THEM4
OR2A4 OR51B6
ZNF254 ZNF443
STARD8 FGD2
PSMB9 ZBTB16
COL4A4 COL26A1
RDX TUBB8
OR52N1 OR8H2
RAP2B TLR2
 SLAMF6
PSMA7 PSMC4
FANCI EME1
IL1RN SEM1
DENND5A RAB39B
INPP5B ARHGAP45
FBXO9 RNF217
REEP5 OR5H15
DYNC1H1 TUBGCP3
RPL37A RPS12
TUBB2A TUBA1C
TNFRSF1B PDXK
RPL9 RPL10L
SMC3 TUBAL3
MAOA VIM
OR6K3 OR2M2
CD3D OCRL
NCKAP1L WAS
RPS3A SEM1
PSMC1 UBA52
S1PR1 RORC
AHCTF1 CENPM
KLRK1 SH2D1B
FGF2 LRRFIP1
LCK KLRK1
PLK1 TUBB4A
OR5K1 OR5B21
BRCA2 POLD3
JUN H4C5
LMO7 UBE2D3
KIF23 KIF26A
NDUFA10 NDUFB4
PSME1 UBA52
H2AC20 OTUB1
RAD23B UBC
DAB2 TGOLN2
MRPL22 PTCD3
ZNF764 ZKSCAN4
H3-4 H4C2
POLR2E TAF1B
CD53 TMBIM1
ETF1 RPL3
H4C11 TNRC6C
NDUFB7 NDUFB8
ERCC5 GTF2H2
HAUS5 CEP192
DSG1 CREG1
PLG CAPN15
JUNB OSM
TRRAP USP22
RHOA ARHGEF33
GRN UBR4
PSMD4 SEM1
DCTN1 DNAJB1
KIF1B KIF27
COPS6 ASB16
SF3B1 PPIL1
OR1L3 OR51F2
MMP8 S100A9
E2F3 SCMH1
RPL30 BOP1
FAF2 TBC1D10C
GTF2A1 H3-3A
FTH1 GAA
RPS27A USP17L30
TCIRG1 SIGLEC14
H2AC14 EHMT2
RPS4Y1 RPL10L
CNTN1 MIB2
CLASP1 CENPN
OR4A5 OR4D11
DCTN2 HAUS6
COL4A4 PDGFC
ANAPC10 ANAPC2
CBFB NCOA2
STAG1 PMF1-BGLAP
ZNF471 ZNF716
CCND1 ESR1
CXCR1 CPNE3
CD4 UBE2N
SOCS1 UBE3C
PSMB5 PSMB7
GTF2H2 POLR2C
RPL27 RPS27
RPS29 RPL39L
MED1 ZNF212
TUBB3 TUBA3E
RPL10 RPS8
ABCB9 ERLEC1
PPIA RAB5B
GPI RAB3A
ANGPT1 GRIN2B
CSNK1E TCTN1
MT-ND1 NDUFA10
CSNK1E WDR75
ZNF708 ZNF189
ATP5F1C DMAC2L
CCND1 PSMD7
PSMB5 PSMD12
E2F1 H2BC4
PSMB7 PSMD13
GNG7 MOV10
H2BC8 RRP8
POLR2B POLR2L
CBL SOS1
DKC1 BMS1
CDK13 SVIP
FGF19 EPGN
H2AZ1 PSMD9
KRTAP26-1 KRTAP21-3
RPS7 RPS18
PRMT7 H2AB1
SEMA4D MYH14
H2BC6 GTF2H5
C3 BMP15
NUP214 AGO2
H4C2 H3C15
UBA3 FBXL8
ARHGEF17 ARHGEF16
CNTRL CEP192
FBL RPS28
OR13H1 OR2A25
ZNF23 ZNF684
TUBB3 TUBA1C
NBN H2BC15
SNRPA CCAR1
XPO1 NUP37
ACLY SLPI
PSMA5 TUBB1
KMT2A EHMT1
EGFR NCAM1
RPL12 RPS28
BUB1 SEC13
H2BC9 RAD50
SNRPB SNRPD1
GDI2 MON1A
CHRNA3 CHRNA4
CCL16 INSL5
H2AC16 ARID2
RPS17 RPS21
HCRT NPFFR1
PSMB6 PSMD4
LDLR SGIP1
PTX3 GGH
PSMA5 PSMD2
FGFR1 IRAK1
PKP4 KRTAP10-9
PSMB5 KLHL3
GNG3 GNGT2
BUB1B PSMF1
GABPB1 CRTC1
MAPK4 PSMD6
TTF1 POLR1G
PSMA6 PSMD9
ELANE TOM1
HPS1 ALS2CL
DRD4 CXCL9
COL4A1 COL5A1
SRSF1 SYMPK
RPSA RPL4
OR8K5 OR13H1
OR4K13 OR5H15
POLR2K NCBP2
MRPS27 MRPL44
CCNE2 H4-16
ZNF599 ZNF875
ADRA1D CHRM5
HSPA1A S100A11
PLK1 KIF2C
CEP43 TUBG2
DYNC1H1 NME2
NCBP1 HNRNPUL1
CST3 VGF
H4C1 H3C13
AKT2 CABLES1
HIVEP3 PSMA8
ADCY3 LHB
DOCK2 HBG1
CSK RAF1
H2BC10 H3C13
PPP2CB RANBP2
RPS27A USP17L20
HSPA5 TIMP3
PSMD9 ELOC
RPL18 RPL21
IDE USP16
AXIN1 TNKS2
ATG4B SLC38A9
SUPT4H1 NABP2
RAB7A CAND1
H4C6 H2BU1
ADORA2B GLP1R
REEP3 OR52N5
CTSD MMP19
GPS1 FBXO17
H2BC21 USP34
RPL36A RPS15A
PSMB3 PSMC3
OR2F1 OR5K2
PSMB5 PSMF1
ITGA7 KDR
KRT82 LCE1C
PSMB10 PSMD2
ZNF500 ZNF705A
AHSG CALU
CENPE TUBB2B
UBC H2BU1
SEM1 ERCC6L
RPS5 EIF3K
OR2T11 OR8K5
EEF1A1 RPS12
PROC THBD
RPS14 RPS15
DCAF10 UBE2F
EPHA2 PSENEN
NR4A2 NR2C2
PSMB5 NOD1
DEFA1 CLEC4D
PSMA7 ORC6
NME2 CRACR2A
ZNF587 ZNF679
RPS3 RPS11
MMP10 PRSS2
CCNA2 H2BC5
XPC COPS8
ITGB2 VPREB3
CDK1 TUBB6
RFC2 UBC
CAPZA2 DNAJA4
PSMC6 CDC23
CEACAM3 PICK1
PSMC5 CUL1
CHIT1 SNAP23
ZNF528 ZNF566
SYMPK PHF5A
H2AX H3C6
BRS3 NPY
RPL19 RPL23A
SF3B1 SNRNP25
S1PR2 RGS22
NDUFS6 UQCRH
INTS2 TAF8
MMP25 CEP290
IFI16 IRF3
CTSD CYBA
RGS20 GNB5
ZNF490 ZNF92
ESR1 GNG5
NOTCH1 MAMLD1
CEBPB PARN
OR6B1 OR10G7
KISS1 PRLH
NRIP1 CARM1
RPL38 SSR2
INSR STRN
ZNF563 ZNF735
RPL3L RPL37A
F2RL3 GNA14
SRSF2 NXT1
OR51G2 OR13F1
RPA2 ATRIP
MAD1L1 ZW10
NEURL2 FBXL14
MIS12 SGO2
BPI NRAS
UBE2V2 FBXL19
FCGR3B SERPINB10
FGF7 PRR5
UBE2K UBE2R2
XCL2 CXCR6
H2BC10 H3C1
DMAP1 SGF29
CXCL11 RGS9
CDC73 H4-16
FGA SRC
UBA7 RNF25
PRKACG PSMA8
ITPR1 AHCYL1
H2BC17 H4C2
HCFC1 CRTC2
OR10Z1 OR6K6
PSAP CXCL5
TRPM1 MLKL
GRM3 CXCL10
CCNB2 PDS5B
H2BC10 H2AJ
CR1 QPCT
MRPL47 MTFMT
SFI1 CEP131
PSMD4 ASXL1
GAB1 UBA52
ACTC1 TNNT1
CAPN1 LAMB1
GRK3 EPN2
OR52K2 OR8A1
H3C11 TAF1B
H2BC17 H3C1
ZNF483 ZNF620
TUBA4A NINL
GSK3B PSMC6
ERBB4 ADAM17
DCTN3 HAUS3
COPS2 KLHL3
MRPS14 CHCHD1
ZNF500 ZNF704
NCKAP1L PRCP
NUP107 956535
PSMB1 TLR6
BYSL RPL41
ZNF343 ZNF394
DNMT3B H4C12
USP44 USP12
ZNF658 ZNF839
SEC24C ACTR1B
JUN ZNF217
MAP2K2 RAP1A
GNB5 GNG8
CCNC ZNF17
TAF10 RMI2
ZNF649 ZNF551
CTCF H2BU1
EGF PDGFA
GTF2F1 NELFB
FDPS SMARCD3
H2AX H2AC14
PPIE OLFM4
RPL13 RPL10L
GNB1 OR5B3
HGF LCK
EXOSC3 EXOSC4
THOP1 UBR1
PTPRJ RAB5C
H4C3 H2AZ2
SKP1 UBA52
KRT7 KRTAP9-2
PSMD12 LRR1
PIK3CB FGF18
UBE2N MALT1
BIRC2 BECN1
ZNF12 ZNF675
POLR2H DDX42
ARSB ARSG
H2AC6 H4C12
COL5A1 CACNA1H
POLR2A POLR2D
PTGER4 GNG2
RPL13 956536
ARF6 ARPC1A
PNLIPRP1 LIPF
OR3A2 OR2G6
H2BU1 SYCE2
RPS12 SEC61B
SLPI CRISP3
RBBP4 H2BC1
SRGAP2 ARHGAP19
TGFA YY1
GPC1 SDC1
KRT81 
MAPK1 SLCO4C1
RPL7A RPS21
OR52A1 OR10H5
CXCL3 CCL13
HLA-DQB1 PSMD3
H2AZ1 H4C5
LYZ CKAP4
TRAPPC5 ALS2CL
OR1I1 OR14I1
DEPDC5 CASTOR2
TAS2R1 TAS2R19
MAML3 H2BC1
KRT2 KRT19
H4C3 SETD1B
FBXW4 UBE2D3
CLDN1 PARD6B
OR1L1 OR52D1
NELFA 162699
POLR2F AGO2
COPS2 FBXO15
SDC2 BCAN
OR4D11 OR51T1
ARRB2 USP3
CSTF2 WDR33
LDLR VAMP2
PSMB9 UBA52
ZNF267 ZNF573
DEFB113 DEFB114
H2BU1 TSPAN33
SDC1 GPC2
MRPL58 MRPL17
OPRM1 TYK2
COX6A1 AGO1
NUP214 NUP37
OR5B21 OR5H14
RFC1 RFC3
CDK2 PSMD5
AVP HGS
ZNF747 ZNF611
NEO1 MAPK11
KRT85 LCE1B
BPI SVIP
OR10X1 OR1S2
VRK1 ANKLE2
RPL41 956532
RPL19 RPL35
OR2W1 OR6X1
BMP1 P4HA3
PSMA1 PSME4
NUP58 NUP37
MMP13 BCAN
FPR2 NMUR1
ARL1 NSF
GTF2H4 CUL4A
CCND1 POLR2G
KCTD6 H3C13
REEP6 OR6C6
TRAPPC2 TRAPPC6B
OR9Q1 OR4K2
FFAR1 UTS2B
MUC15 MUC19
MED26 ZNF764
PSMD8 TRIM32
CASP14 KLK13
HBEGF PICALM
ARNTL MED8
RPS4Y1 RPS29
ZNF568 ZNF735
ZNF681 ZNF621
ADRA1D EDNRA
APOA2 SPP2
ZNF777 ZNF100
CENPF PPP2R5C
GATA3 HSPA8
PRKAR2B MZT1
BARD1 XRCC2
ZNF224 ZNF337
CD99L2 PSG8
RPL41 RPL10L
MRPS11 MRPL38
PSMD3 PSMD9
H2AC18 H4C8
MCM3 CDC45
SEM1 USP20
CXCL9 RGS5
CUL2 DCAF17
DCAF13 KBTBD6
RPL9 RPS17
RHOD RHOJ
PSMA2 PSMD12
NUP107 CENPK
SPHK1 SPTSSA
ARHGEF18 ARHGEF39
UBE2E2 PJA2
PSMB7 PSMB8
RPL35A RPS3
RPL37A RPS15
GAB1 ERLIN2
IKBKB RPS27A
GTF2H4 POLR2E
ZNF225 ZNF253
MCM6 PSMC5
GYPA TNFRSF10D
PSMA5 PSMC5
RPL11 RPL36AL
FBXO4 LRR1
RPS4X RPS4Y1
NPRL2 ATP6V0D2
FEM1B UBXN7
OR52A1 OR4D11
SCMH1 COMMD3-BMI1
H2AC6 H2AB1
FCGR3A SFTPD
UBA52 UBR4
RPS24 EIF3A
KRT36 KRTAP1-3
SUPT16H 728929
POLR2C NELFB
LMNA STAG3
MMP10 TLL2
RPL10A RPL23A
ABCA1 AHRR
PSMD13 RIPK2
PLD1 TSPAN14
SERPINB1 COTL1
CUL1 FBXL16
BST2 PPIA
CALR LY96
CD3G ARPC4
NOTCH3 H3C11
SMAD4 STAM2
RPL34 RPS19
RAC1 AGO1
POLR2H H3C1
RPL10 EXOSC8
FGF2 PDGFA
UBC H3C6
NECAP1 REPS1
OR10W1 OR52N4
ANAPC1 CENPS-CORT
OR8B8 OR2M5
MLEC GSDMD
ADRB2 USP12
PQBP1 SF3B2
PRDX2 LAMTOR1
RPL29 RPS27A
HOXD1 H3C8
ACTB PSMD3
CYBB PRKCD
FN1 PSAP
POLR2F TAF4B
HSPA8 DEFA1B
ZNF616 ZSCAN25
WNT1 CDK19
UBB BTBD6
H2BC3 H2BC17
RFC3 RPA3
H2AC4 H2BC6
IGFALS IGFBP3
HEPH SLC41A2
TBP H2BC9
IFNA7 SOCS1
RPSA RPS29
HLA-E RAC1
ADORA1 RGS21
PSMB2 CKAP5
OR51A4 441669
CEBPG EXOSC4
ERCC6 TCEA1
RPL5 RPL23
SRSF9 CTNNBL1
ZNF559 ZNF101
PSMB3 ASB7
MRPL57 GFM2
AKT1 PSMB7
OR8B2 OR7C1
KLHL20 FBXL14
PAFAH1B1 TUBA1A
POLR2F H3C1
FGF4 FGF23
HSP90B1 VWA1
RPL35A FTSJ3
ASB1 FBXW7
904054 35556781
GTF2H4 TAF9B
H2AZ1 TNRC6C
OR5L2 OR2G3
H3C8 H3C13
P2RY6 KISS1R
TAF6L PHF20
ATP11B TSPAN14
COLEC12 LILRB3
NTSR1 GNG2
RPL12 RPS27A
GAN KBTBD6
COTL1 GCA
GNA13 TIAM2
ZNF254 ZNF573
HLA-B PSMD7
CALM1 BEST4
HEXB PGLYRP1
CLIC2 SCNN1B
PIK3R2 PRKACG
TP53 E2F8
POLR2D NELFCD
CLU FGB
PSMB3 PTEN
POLR2B POLR2I
IFNA4 EHD2
CXCL9 RRH
ANPEP STING1
GNG10 HCAR1
RPL9 RPL24
PSMC5 CUL1
PSMB9 RPS10
PPP2R1B MAD1L1
PSMA4 PSME2
FOXO4 PPARGC1A
H2BC3 H3C2
ZNF12 ZNF418
SREBF2 PMVK
GNG4 CCL4L2
FPR1 NAPRT
RPL37 RPS21
POLR2E NELFE
CDK7 TAF12
RXRG NRBP1
RAB4B RETN
EIF4E UBA52
CENPF PSMC6
KPNA1 NUP50
MPO CEP290
OR10H3 OR56A4
AVPR2 PTGDR
PTPN11 IL18BP
HLA-A H2BC10
SPSB1 ZNRF2
MRPL35 MRPL47
ZNF701 ZNF668
SEH1L NUP35
ITGA1 LAMC1
OR51G1 OR10J3
TRIM37 PSMD5
SERPINA3 PFN1
PSMD9 TUBA1B
MRPS2 MRPL34
DYNC1I1 RCC2
OR10X1 OR2Y1
DOCK2 CAB39
CDK9 SP1
TBK1 HERC5
SERPIND1 BPIFB2
RAP1B EPX
PSMD12 RNF185
H2BC7 H4C2
TUBA3D TUBB8
MAD1L1 CLASP1
LSM8 SF3B5
CDK7 H3C15
CRK ROCK1
RPL31 RPS17
RHOD NDEL1
RPS10 EIF3A
H2AC7 H4C14
ZNF668 ZNF773
ASPH CLCA4
COL4A2 NTN4
